model,system,lambda,c,rho_perserver,rho_offered,Wq_mean_s,Wq_lo_s,Wq_hi_s,Lq_mean,Lq_lo,Lq_hi,P_wait,P_wait_gt2p5,Wq_p95_s
B_dedicated,fast,0.340132,2,0.63,,1.32005,1.293,1.34137,0.44899,0.43979,0.45624,0.47645,0.20978,5.69922
B_dedicated,fast,0.361727,2,0.67,,1.62545,1.5905,1.65043,0.58797,0.57533,0.59701,0.52711,0.25463,6.65935
B_dedicated,fast,0.383323,2,0.71,,2.01814,1.96986,2.05386,0.7736,0.75509,0.78729,0.57915,0.30624,7.89266
B_dedicated,fast,0.404919,2,0.75,,2.54114,2.4738,2.60034,1.02895,1.00169,1.05293,0.63342,0.36637,9.52227
B_dedicated,fast,0.426514,2,0.79,,3.26953,3.17825,3.36786,1.3945,1.35557,1.43644,0.68882,0.4361,11.75061
B_dedicated,fast,0.44811,2,0.83,,4.35886,4.24072,4.51727,1.95325,1.90031,2.02423,0.74569,0.5159,15.13402
B_dedicated,fast,0.469706,2,0.87,,6.1199,5.88184,6.34174,2.87455,2.76274,2.97875,0.80316,0.60721,20.46784
B_dedicated,fast,0.491301,2,0.91,,9.40165,8.86335,9.70594,4.61904,4.35458,4.76854,0.862,0.7101,30.39488
B_dedicated,fast,0.512897,2,0.95,,17.92076,16.41059,18.49998,9.19151,8.41695,9.48858,0.92227,0.82847,55.35429
B_dedicated,slow,0.003662,1,0.03,,0.12859,0.12574,0.13152,0.00047,0.00046,0.00048,0.02977,0.02092,0.0
B_dedicated,slow,0.008544,1,0.07,,0.31458,0.31118,0.31804,0.00269,0.00266,0.00272,0.07001,0.04987,2.48433
B_dedicated,slow,0.013427,1,0.11,,0.51752,0.51499,0.52077,0.00695,0.00691,0.00699,0.11012,0.07962,4.84658
B_dedicated,slow,0.018309,1,0.15,,0.73868,0.73505,0.74281,0.01352,0.01346,0.0136,0.15016,0.11018,6.06354
B_dedicated,slow,0.023192,1,0.19,,0.98203,0.97777,0.98618,0.02277,0.02268,0.02287,0.19028,0.14177,6.946
B_dedicated,slow,0.028074,1,0.23,,1.25116,1.24387,1.25616,0.03513,0.03492,0.03527,0.22998,0.1742,7.71935
B_dedicated,slow,0.032956,1,0.27,,1.55007,1.53832,1.55885,0.05108,0.0507,0.05137,0.2704,0.20742,8.51501
B_dedicated,slow,0.037839,1,0.31,,1.88397,1.86748,1.89639,0.07129,0.07066,0.07176,0.31036,0.24159,9.68703
