N,quorum_ratio,q,byz_frac,mint_delay_s,cctp_safety_margin_s,reorg_mtbf_s,fail_rate,double_spend_rate,t_quorum_mean,t_quorum_std,t_quorum_p99,t_total_p99,reach_at_quorum_mean,reach_at_end_mean,reach_t_p99_mean,reach_hops_mean_mean,wall_s_mean,reorg_count_mean,reorg_total_depth_mean
21,0.6666666666666666,14,0.0,20.0,0.0,10.0,0.0,0.0,0.14263008566516366,0.006935318412799305,0.16335594822713978,200.16335594822715,0.9866666666666667,0.9866666666666667,0.13061319989288972,1.663250626566416,0.00554079532623291,0.0,0.0
21,0.6666666666666666,14,0.1,20.0,0.0,10.0,0.0,0.0,0.147555997831921,0.008263427075211075,0.16431753028033774,200.16431753028033,0.9931578947368421,0.9931578947368421,0.1303782927818493,1.6586274509803922,0.006727004051208496,0.0,0.0
21,0.6666666666666666,14,0.2,20.0,0.0,10.0,0.0,0.0,0.15482446318045054,0.009395051799050237,0.17909532132955835,200.17909532132956,0.9976470588235294,0.9976470588235294,0.1318095607294212,1.6737867647058824,0.008928492069244384,0.0,0.0
21,0.6666666666666666,14,0.3,20.0,0.0,10.0,0.0,0.0,0.167555112542505,0.010305006673760452,0.19093885441987643,200.19093885441987,1.0,1.0,0.1309057555483401,1.6640000000000001,0.012924551963806152,0.0,0.0
