N,quorum_ratio,q,byz_frac,mint_delay_s,cctp_safety_margin_s,reorg_mtbf_s,fail_rate,double_spend_rate,t_quorum_mean,t_quorum_std,t_quorum_p99,t_total_p99,reach_at_quorum_mean,reach_at_end_mean,reach_t_p99_mean,reach_hops_mean_mean,wall_s_mean,reorg_count_mean,reorg_total_depth_mean
21,0.6666666666666666,14,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,30.0,230.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.001215043067932129,0.8,1.6
21,0.6666666666666666,14,0.1,0.0,0.0,0.0,1.0,0.0,30.0,0.0,30.0,230.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0034622764587402344,1.0,2.0
21,0.6666666666666666,14,0.2,0.0,0.0,0.0,1.0,0.0,30.0,0.0,30.0,230.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0031788158416748047,0.86,1.72
21,0.6666666666666666,14,0.3,0.0,0.0,0.0,1.0,0.0,30.0,0.0,30.0,230.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0035855913162231444,0.92,1.84
